image,caption
190246_0.jpg,Two students are working on the laptop
190246_0.jpg,? Students are sitting infrontof ? laptop
190246_0.jpg,Two students are sitting on the chair
190246_0.jpg,? students are working in the room
190246_0.jpg,? Student is sitting on the chair
190248_0.jpg,A man ? wearing ? a shirt
190248_0.jpg,A man is sitting  on the table
190248_0.jpg,A man is sitting in the room
190248_0.jpg,A man is sitting in ? Room
190248_0.jpg,A man is sitting infrontof a laptop
190249.jpg,The man is sitting on the chair
190249.jpg,A man ? wearing ? a glasses
190249.jpg,? man is sitting on the chair
190249.jpg,A man ? Wearing ? a shirt
190249.jpg,A man ? wearing ? a coat
192437_0.jpg,A man is standing on the ground
192437_0.jpg,A man ? wearing ? the coat
192437_0.jpg,? Man ? wearing ? the coat
192437_0.jpg,A man is standing on ? ground
192437_0.jpg,A man ? wearing ? ? coat
192441_0.jpg,three men are sitting near the table
192441_0.jpg,three men are sitting behind a table
192441_0.jpg,? Men are talking ? ? ?
192441_0.jpg,threee men are talking ? ? ?
192441_0.jpg,three men are sitting in the room
192442_0.jpg,? Students are sitting in the room
192442_0.jpg,two men are talking in the room
192442_0.jpg,? Students are sitting behind the table
192442_0.jpg,? Students are talking in the room
192442_0.jpg,? Woman is sitting in ? room
192444_0.jpg,A man is working on the laptop
192444_0.jpg,A man is sitting in the room
192444_0.jpg,A man is sitting infrontof the laptop
192444_0.jpg,A man is working on his laptop
192444_0.jpg,A student is sitting in the room
199844_0.jpg,Three men are wearing ? a thing
199844_0.jpg,A man ? wearing ? a shirt
199844_0.jpg,Six people are standing ? ? ?
199844_0.jpg,A woman is standing ? ? ?
199844_0.jpg,A man is standing ? ? ?
199846_0.jpg,Three men are standing on the ground
199846_0.jpg,A man ? wearing ? a food
199846_0.jpg,A man ? wearing ? a shirt
199846_0.jpg,A man ? Wearing ? a thing
199846_0.jpg,A man ? wearing  ? a coat
199848_0.jpg,A man is sitting on the chair
199848_0.jpg,A man ? wearing ? a shirt
199848_0.jpg,A man is holding ? a thing
199848_0.jpg,A man ? wearing ? a glasses
199848_0.jpg,A man ? wearing  ? a coat
199852_0.jpg,four men ? wearing ? a shirt
199852_0.jpg,A man ? wearing ? a glasses
199852_0.jpg,A man ? wearing ? a food
199852_0.jpg,four men are sitting on a chair
199852_0.jpg,A man ? holding ? A thing
200085_0.jpg,Four men is sitting ? ? ?
200085_0.jpg,Four men ? wearing ? a shirt
200085_0.jpg,Four men ? wearing ? a food
200085_0.jpg,A man is sitting ? ? ?
200085_0.jpg,A man ? wearing  ? a glasses
200086_0.jpg,A man ? wearing ? a shirt
200086_0.jpg,A woman ? wearing  ? a shirt
200086_0.jpg,Two people are standing on the floor
200086_0.jpg,A woman is standing on the ground
200086_0.jpg,A man is standing on the ground
200088_0.jpg,A man ? wearing ? a shirt
200088_0.jpg,A woman ? wearing  ? a shirt
200088_0.jpg,Two people are standing on ? Ground
200088_0.jpg,A woman is standing on the ground
200088_0.jpg,A man is standing on the ground
200089_0.jpg,A man ? wearing ? a shirt
200089_0.jpg,A woman ? wearing  ? a shirt
200089_0.jpg,Two people are standing on ? Ground
200089_0.jpg,A woman is standing on the ground
200089_0.jpg,A man is standing on the ground
200090_0.jpg,A man ? wearing ? a shirt
200090_0.jpg,A woman ? wearing  ? a shirt
200090_0.jpg,Two people are standing on the floor
200090_0.jpg,A woman is standing on the ground
200090_0.jpg,A man is standing on the ground
200091_0.jpg,A man ? wearing  ? an uniform
200091_0.jpg,A woman ? wearing  ? an uniform
200091_0.jpg,Two people are standing ? ? ?
200091_0.jpg,Two people are standing on a floor
200091_0.jpg,A woman ? wearing ? An uniform
200092_0.jpg,Three women ? wearing  ? a uniform
200092_0.jpg,Three girls are standing on the ground
200092_0.jpg,Five people are standing on a ground
200092_0.jpg,Two men ? wearing ? a uniform
200092_0.jpg,Five people ? wearing ? a uniform
200093_0.jpg,A man is standing on the ground
200093_0.jpg,A man is standing ? ? ?
200093_0.jpg,Two students are standing on the ground
200093_0.jpg,A woman is standing on the ground
200093_0.jpg,A woman ? wearing  ? a uniform
200094_0.jpg,A woman ? wearing  ? a uniform
200094_0.jpg,A girl ? wearing  ?  a uniform
200094_0.jpg,A woman is standing ? ? ?
200094_0.jpg,A woman is standing on a ground
200094_0.jpg,Two students are standing on a ground
200123_0.jpg,A woman is holding ? a thing
200123_0.jpg,A woman is holding ? a food
200123_0.jpg,A man is holding ? a thing
200123_0.jpg,Two people are holding ? a thing
200123_0.jpg,A woman is standing behind a thing
200124_0.jpg,A woman is standing on the ground
200124_0.jpg,A woman ? wearing ? a thing
200124_0.jpg,A woman ? wearing ? a uniform
200124_0.jpg,A woman is standing on the ground
200124_0.jpg,A girl is standing on the ground
200126_0.jpg,A woman ? wearing  ? a shirt
200126_0.jpg,A man ? wearing ? a thing
200126_0.jpg,A woman is standing ? ? ?
200126_0.jpg,A man ? wearing ? a shirt
200126_0.jpg,Two people are standing ? ? ?
file-td6u29ivjBgq2GZkhWJXLWJY.png,A woman is holding ? a food
file-td6u29ivjBgq2GZkhWJXLWJY.png,A woman ? wearing ? a shirt
file-td6u29ivjBgq2GZkhWJXLWJY.png,A woman is holding ? a food
file-td6u29ivjBgq2GZkhWJXLWJY.png,A woman is sitting on a chair
file-td6u29ivjBgq2GZkhWJXLWJY.png,A girl is sitting on a chair
file-VPtVQ4NcHIpsmOsJ6aY49Zwn.png,A man is holding ? a food
file-VPtVQ4NcHIpsmOsJ6aY49Zwn.png,A man ? wearing  ? a shirt
file-VPtVQ4NcHIpsmOsJ6aY49Zwn.png,A man is holding ? a food
file-VPtVQ4NcHIpsmOsJ6aY49Zwn.png,A man is sitting on a chair
file-VPtVQ4NcHIpsmOsJ6aY49Zwn.png,A man is sitting on a chair
IMG_0225.JPG,The student is sitting on the chair
IMG_0225.JPG,A man is playing ? the  laptop
IMG_0225.JPG,A student is sitting infrontof the laptop 
IMG_0225.JPG,A student is working on ? laptop
IMG_0225.JPG,A man is sitting near the laptop
IMG_0226.JPG,Two men are standing near the table
IMG_0226.JPG,Two men are working near the table
IMG_0226.JPG,Two men are standing in the room
IMG_0226.JPG,Two students are standing infrontof the table
IMG_0226.JPG,? Students are working in the room
IMG_0229.JPG,A man is sitting nextto the table
IMG_0229.JPG,A man ? sitting on a chair
IMG_0229.JPG,A man ? Wearing ? a shirt
IMG_0229.JPG,The people are sitting on the chair
IMG_0229.JPG,The people are holding ? The thing
IMG_0230.JPG,A man is sitting on the chair
IMG_0230.JPG,A man is sitting behind the table
IMG_0230.JPG,A man is holding ? a thing
IMG_0230.JPG,? man is sitting on the chair
IMG_0230.JPG,A man is sitting in the room
IMG_0231.JPG,A man is sitting on the chair
IMG_0231.JPG,A man is sitting in the room
IMG_0231.JPG,A man is sitting on ? Chair
IMG_0231.JPG,A man is sitting infrontof the laptop
IMG_0231.JPG,The man is sitting near the table
IMG_0232.JPG,A man is working on the laptop
IMG_0232.JPG,A man is sitting infrontof the laptop
IMG_0232.JPG,? man is sitting infrontof the laptop
IMG_0232.JPG,A man is sitting in the room
IMG_0232.JPG,A man is working on the laptop
IMG_0233.JPG,A man is wearing ? A shirt
IMG_0233.JPG,A man is sitting on the chair
IMG_0233.JPG,A man is holding ? a thing
IMG_0233.JPG,A man is sitting in the room
IMG_0233.JPG,The student is working near the table
IMG_0235.JPG,The student is sitting on the chair
IMG_0235.JPG,The student is working on the laptop
IMG_0235.JPG,the student is sitting in the room
IMG_0235.JPG,the student is sitting in the room
IMG_0235.JPG,? student is working on the laptop
IMG_0257.JPG,A man is standing on ? Ground
IMG_0257.JPG,A man is holding ? the laptop
IMG_0257.JPG,A man is standing in the room
IMG_0257.JPG,A man is standing on the ground
IMG_0257.JPG,A man is holding ? the laptop
IMG_0258.JPG,A man is standing on the room
IMG_0258.JPG,A man is sitting on the chair
IMG_0258.JPG,A man is sitting in the room
IMG_0258.JPG,A woman is sitting infrontof a laptop
IMG_0258.JPG,A People is sitting on ? Chair
IMG_0259.JPG,A man is sitting infrontof a laptop
IMG_0259.JPG,two men are working in the room
IMG_0259.JPG,A man ? wearing ? A shirt
IMG_0259.JPG,A man is sitting on the chair
IMG_0259.JPG,A man is holding ? a thing
IMG_0386.JPG,Three men are playing ? ? Boardgame
IMG_0386.JPG,Two student are sitting on a chair
IMG_0386.JPG,A man is standing near the table 
IMG_0386.JPG,Two men are sitting near ? boardgame
IMG_0386.JPG,? Students are playing in the room
IMG_0389.JPG,two men are playing ? ? Boardgame
IMG_0389.JPG,? Men are playing ? ? Boardgame
IMG_0389.JPG,? Students ? wearing ? a glasses
IMG_0389.JPG,A student is sitting  on a chair
IMG_0389.JPG,A man is holding  ? a thing
IMG_0390.JPG,Two students are playing ? ? Boardgame
IMG_0390.JPG,Two students ? Playing ? a boardgame
IMG_0390.JPG, ? Students are sitting in the room
IMG_0390.JPG,Two students are sitting near the boardgame
IMG_0390.JPG,two students are sitting on the room
IMG_0391.JPG,Three students are playing ? ? boardgame
IMG_0391.JPG,? students are Playing ? a boardgame
IMG_0391.JPG,? Student is sitting ? ? ?
IMG_0391.JPG,Three students are talking about ? Boardgame
IMG_0391.JPG,? Students are playing in the room
IMG_20231007_141008.jpg,Two men are holding ? A thing
IMG_20231007_141008.jpg,Two men are holding ? ? Thing
IMG_20231007_141008.jpg,? student is sitting on the chair
IMG_20231007_141008.jpg,The student is sitting on the chair
IMG_20231007_141008.jpg,A student is sitting on the chair
IMG_25660913_083131.jpg,A man is holding ? a food
IMG_25660913_083131.jpg,Two men are sitting at the room
IMG_25660913_083131.jpg,? students are talking in ? room
IMG_25660913_083131.jpg,The students are talking in the room
IMG_25660913_083131.jpg,A man is holding ? a food
IMG_25660913_132501.jpg,four men are sitting on the chair
IMG_25660913_132501.jpg,A man ? wearing ? black shirt
IMG_25660913_132501.jpg,? Men are sitting in the room
IMG_25660913_132501.jpg,? Men are sitting on the chair
IMG_25660913_132501.jpg,four men are sitting in the room
IMG_25660920_150148.jpg,Many students are talking ? ? ?
IMG_25660920_150148.jpg,? Students are sitting around the table
IMG_25660920_150148.jpg,? Students are sitting in the room
IMG_25660920_150148.jpg,? Students are sitting ? ? ?
IMG_25660920_150148.jpg,the students are sitting in the room
line_1.jpg,A man is standing on the ground
line_1.jpg,A man ? Wearing ? A shirt
line_1.jpg,The student is standing at the ground
line_1.jpg,? students are standing on the floor
line_1.jpg,A man is sitting ? ? ?
S__12435466_0.jpg,A man is sitting on the chair
S__12435466_0.jpg,? Man is sitting on the chair
S__12435466_0.jpg,A man is sitting in the room
S__12435466_0.jpg,Two men are sitting in the room
S__12435466_0.jpg,A man ? wearing ? a shirt
S__12435469_0.jpg,A man is holding ? a food
S__12435469_0.jpg,A man ? wearing ? a glasses
S__12435469_0.jpg,The man is sitting on the chair
S__12435469_0.jpg,Two man is sitting in the room
S__12435469_0.jpg,A student are sitting in the room
S__12435483_0.jpg,? Students are standing infrontof the room
S__12435483_0.jpg,? Students are standing in the room
S__12435483_0.jpg,? Men are standing ? ? ?
S__12435483_0.jpg,? Students are talking in the room
S__12435483_0.jpg,Three men are talking in ? room
S__12435484_0.jpg,The student is standing on a floor
S__12435484_0.jpg,? Student is standing in the room
S__12435484_0.jpg,A man is holding ? a laptop
S__12435484_0.jpg,A student is standing infrontof the room
S__12435484_0.jpg,a man is standing ? ? ?
S__12435487_0.jpg,Two men are sitting on the chair
S__12435487_0.jpg,? Students are sitting ? ? ?
S__12435487_0.jpg,Two men are sitting in the room
S__12435487_0.jpg,Two students are sitting ? ? ?
S__12435487_0.jpg,? Students are sitting on the chair
S__12435491_0.jpg,A man is standing in ? room
S__12435491_0.jpg,A student is standing on the ground
S__12435491_0.jpg,? Student is standing on the floor
S__12435491_0.jpg,A man is standing in the room
S__12435491_0.jpg,A man ? wearing ? a shirt
S__23502851_0.jpg,A woman ? wearing ? a coat
S__23502851_0.jpg,A woman is standing ? ? ?
S__23502851_0.jpg,A woman is standing on a floor
S__23502851_0.jpg,? Woman is standing on ? Floor
S__23502851_0.jpg,The woman is standing ? ? ?
S__23502853_0.jpg,A man is standing on a floor
S__23502853_0.jpg,Two man are standing in the room
S__23502853_0.jpg,A man ? wearing ? a glasses
S__23502853_0.jpg,Two men ? wearing ? a shirt
S__23502853_0.jpg,Two men are standing on a floor
S__23502854_0.jpg,Three men are standing on a floor
S__23502854_0.jpg,Three men are wearing ? a shirt
S__23502854_0.jpg,Two men ? wearing ? a coat
S__23502854_0.jpg,A man ? wearing ? a coat
S__23502854_0.jpg,A man ? wearing ? ? coat
S__23502855_0.jpg,A woman ? wearing ?  a coat
S__23502855_0.jpg,A woman ? wearing ? a uniform
S__23502855_0.jpg,A woman is standing infrontof the room
S__23502855_0.jpg,A girl is standing in a room
S__23502855_0.jpg,A woman is standing infrontof the laptop
S__23502856_0.jpg,A man is holding ? a chair
S__23502856_0.jpg,A man is standing on a floor
S__23502856_0.jpg,A man is standing in the room
S__23502856_0.jpg,A woman is standing on a floor
S__23502856_0.jpg,A woman is standing behind a table
S__23502857_0.jpg,Three men are sitting on a chair
S__23502857_0.jpg,A man is sitting infrontof the laptop
S__23502857_0.jpg,A man ? wearing ? a shirt
S__23502857_0.jpg,A man ? wearing ? a food
S__23502857_0.jpg,A man is sitting infrontof the table
S__23502859_0.jpg,A girl is holding ? a coat
S__23502859_0.jpg,A girl is holding ? a food
S__23502859_0.jpg,A girl is holding ? a food
S__23502859_0.jpg,A woman is holding ? a food
S__23502859_0.jpg,A woman ? wearing ? a coat
S__23502860_0.jpg,A woman is eating ? a food
S__23502860_0.jpg,? woman is eating ? ? Food
S__23502860_0.jpg,A woman ? wearing ? a glasses
S__23502860_0.jpg,A girl is eating ? a food
S__23502860_0.jpg,A girl is eating ? ? ?
S__23502861_0.jpg,A man is sitting behind a table
S__23502861_0.jpg,A man is holding ? The food
S__23502861_0.jpg,A man is holding ? a food
S__23502861_0.jpg,A man ? wearing  ? a shirt
S__23502861_0.jpg,A man is sitting behind a laptop
S__23502862_0.jpg,A man is eating ? ? ?
S__23502862_0.jpg,A man is eating ? a food
S__23502862_0.jpg,A man is sitting on the room
S__23502862_0.jpg,A man is wearing ? a coat
S__23502862_0.jpg,A man is sitting behind a table
S__23502864_0.jpg,A man is holding ? a food
S__23502864_0.jpg,A man is wearing ? a glasses
S__23502864_0.jpg,A man is sitting on the chair
S__23502864_0.jpg,A man ? wearing ? a coat
S__23502864_0.jpg,A man is sitting behind a table
S__47751171_0.jpg,A girl is standing on the ground
S__47751171_0.jpg,A girl is holding ? a thing
S__47751171_0.jpg,A woman is standing on a floor
S__47751171_0.jpg,A girl ? wearing ? a shirt
S__47751171_0.jpg,A woman is holding ? a thing
S__47751173_0.jpg,A woman ? wearing ? a shirt
S__47751173_0.jpg,A woman is sitting ? ? ?
S__47751173_0.jpg,A girl is sitting ? ? ?
S__47751173_0.jpg,A girl is sitting on the floor
S__47751173_0.jpg,A girl ? wearing ? a shirt
S__47751174_0.jpg,? woman is sitting on a chair
S__47751174_0.jpg,? girl is sitting on a chair
S__47751174_0.jpg,A woman is sitting on a chair
S__47751174_0.jpg,A girl is sitting on a chair
S__47751174_0.jpg,A girl is sitting ? ? ?
S__47751175_0.jpg,A woman ? wearing ? a shirt
S__47751175_0.jpg,? Woman is standing in a floor
S__47751175_0.jpg,? Woman ? wearing ? a shirt
S__47751175_0.jpg,A girl ? wearing ? a shirt
S__47751175_0.jpg,A girl is standing in a floor
S__47759362.jpg,? woman is standing on the floor
S__47759362.jpg,A woman is standing ? ? ?
S__47759362.jpg,A woman is standing on the ground
S__47759362.jpg,A woman is standing ? ? ?
S__47759362.jpg,? woman is standing on the ground
